;<;>;d;di;o;oi;m;mi;s;si;f;fi;=
<;<;;< o m d s;<;<;< o m d s;<;< o m d s;<;<;< o m d s;<;<
>;;>;> oi mi d f;>;> oi mi d f;>;> oi mi d f;>;> oi mi d f;>;>;>;>
d;<;>;d;;< o m d s;> oi mi d f;<;>;d;> oi mi d f;d;< o m d s;d
di;< o m di fi;> oi di mi si;o oi dur con =;di;o di fi;oi di si;o di fi;oi di si;di fi o;di;di si oi;di;di
o;<;> oi di mi si;o d s;< o m di fi;< o m;o oi dur con =;<;oi di si;o;di fi o;d s o;< o m;o
oi;< o m di;>;oi d f;> oi mi di si;o oi dur con =;> oi mi d f;o di fi;>;oi d f;oi > mi;oi;oi di si;oi
m;<;> oi mi di si;o d s;<;<;o d s;<;f fi =;m;m;d s o;<;m
mi;< o m di fi;>;oi d f;>;oi d f;>;s si =;>;d f oi;>;mi;mi;mi
s;<;>;d;< o m di fi;< o m;oi d f;<;mi;s;s si =;d;< m o;s
si;< o m di fi;>;oi d f;di;o di fi;oi;o di fi;mi;s si =;si;oi;di;si
f;<;>;d;> oi mi di si;o d s;> oi mi d f;m;>;d;> oi mi d f;f;f fi =;f
fi;<;> oi mi di si;o d s;di;o;oi di si;m;si oi di;o;di;f fi =;fi;fi
=;<;>;d;di;o;oi;m;mi;s;si;f;fi;=
